,Date,Count
998,2015-09-26,11038
999,2015-09-27,9979
1000,2015-09-28,11305
1001,2015-09-29,7240
1002,2015-09-30,10184
1003,2015-10-01,4799
1004,2015-10-02,2079
1005,2015-10-03,4050
1006,2015-10-04,6624
1007,2015-10-05,10445
1008,2015-10-06,11551
1009,2015-10-07,11734
1010,2015-10-08,11711
1011,2015-10-09,10501
1012,2015-10-10,10269
1013,2015-10-11,10491
1014,2015-10-12,10495
1015,2015-10-13,10803
1016,2015-10-14,11406
1017,2015-10-15,11506
1018,2015-10-16,11263
1019,2015-10-17,8782
1020,2015-10-18,6978
1021,2015-10-19,9074
1022,2015-10-20,10036
1023,2015-10-21,10678
1024,2015-10-22,11287
1025,2015-10-23,11470
1026,2015-10-24,9730
1027,2015-10-25,8587
1028,2015-10-26,9973
1029,2015-10-27,9797
1030,2015-10-28,5179
1031,2015-10-29,10632
1032,2015-10-30,9700
1033,2015-10-31,8721
1034,2015-11-01,7211
1035,2015-11-02,9446
1036,2015-11-03,10508
1037,2015-11-04,10822
1038,2015-11-05,10553
1039,2015-11-06,11609
1040,2015-11-07,5610
1041,2015-11-08,8994
1042,2015-11-09,6715
1043,2015-11-10,5773
1044,2015-11-11,8901
1045,2015-11-12,8476
1046,2015-11-13,9262
1047,2015-11-14,7171
1048,2015-11-15,7441
1049,2015-11-16,9156
1050,2015-11-17,9226
1051,2015-11-18,9768
1052,2015-11-19,6255
1053,2015-11-20,9097
1054,2015-11-21,7299
1055,2015-11-22,4948
1056,2015-11-23,6601
1057,2015-11-24,7500
1058,2015-11-25,6864
1059,2015-11-26,3394
1060,2015-11-27,6240
1061,2015-11-28,6418
1062,2015-11-29,2877
1063,2015-11-30,4160
1064,2015-12-01,3954
1065,2015-12-02,5740
1066,2015-12-03,7969
1067,2015-12-04,7940
1068,2015-12-05,7086
1069,2015-12-06,5980
1070,2015-12-07,7928
1071,2015-12-08,8458
1072,2015-12-09,7982
1073,2015-12-10,8685
1074,2015-12-11,8722
1075,2015-12-12,8720
1076,2015-12-13,8034
1077,2015-12-14,6645
1078,2015-12-15,8803
1079,2015-12-16,8625
1080,2015-12-17,4553
1081,2015-12-18,6698
1082,2015-12-19,4279
1083,2015-12-20,4219
1084,2015-12-21,6675
1085,2015-12-22,4934
1086,2015-12-23,2263
1087,2015-12-24,2796
1088,2015-12-25,1502
1089,2015-12-26,2702
1090,2015-12-27,4623
1091,2015-12-28,4459
1092,2015-12-29,5253
1093,2015-12-30,5275
1094,2015-12-31,5855
1095,2016-01-01,3220
1096,2016-01-02,4921
1097,2016-01-03,4965
1098,2016-01-04,5133
1099,2016-01-05,4850
1100,2016-01-06,5712
1101,2016-01-07,6592
1102,2016-01-08,6153
1103,2016-01-09,5314
1104,2016-01-10,5663
1105,2016-01-11,6294
1106,2016-01-12,6490
1107,2016-01-13,5620
1108,2016-01-14,7164
1109,2016-01-15,5983
1110,2016-01-16,5908
1111,2016-01-17,3400
1112,2016-01-18,2499
1113,2016-01-19,3912
1114,2016-01-20,4321
1115,2016-01-21,4228
1116,2016-01-22,2985
1117,2016-01-27,528
1118,2016-01-28,2022
1119,2016-01-29,2942
1120,2016-01-30,2822
1121,2016-01-31,3611
1122,2016-02-01,4604
1123,2016-02-02,6584
1124,2016-02-03,4243
1125,2016-02-04,6691
1126,2016-02-05,5822
1127,2016-02-06,5042
1128,2016-02-07,4664
1129,2016-02-08,5994
1130,2016-02-09,4053
1131,2016-02-10,5493
1132,2016-02-11,4246
1133,2016-02-12,4363
1134,2016-02-13,1535
1135,2016-02-14,1851
1136,2016-02-15,501
1137,2016-02-16,3238
1138,2016-02-17,6097
1139,2016-02-18,5822
1140,2016-02-19,5633
1141,2016-02-20,8245
1142,2016-02-21,4254
1143,2016-02-22,7148
1144,2016-02-23,2585
1145,2016-02-24,3279
1146,2016-02-25,6330
1147,2016-02-26,5345
1148,2016-02-27,5432
1149,2016-02-28,8732
1150,2016-02-29,7828
1151,2016-03-01,8588
